Joints,,,,,,,,,,,,,
100,,,,,,,,,,,,,
,,Subject1:World_Root,,,,,,Subject1:LowerBack,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
193,0,1.84301,-15.2828,-1.48688,45.8153,1023.5,279.191,24.7379,115.741,110.249,-50.1506,285.943,1196.5
194,0,2.01712,-14.6396,-1.11782,44.0263,1030.95,279.921,24.0176,116.23,110.582,-47.2955,286.869,1203.97
195,0,2.14653,-13.9087,-0.754402,42.2427,1038.13,280.724,23.1966,116.782,111.02,-44.4564,287.758,1211.16
196,0,2.22608,-13.1011,-0.401192,40.3157,1044.76,281.537,22.2503,117.419,111.559,-41.4972,288.538,1217.8
197,0,2.28437,-12.1649,-0.0578189,38.3828,1050.73,282.389,21.1707,118.158,112.199,-38.5541,289.328,1223.77
198,0,2.323,-11.1695,0.269241,36.365,1055.81,283.333,19.9984,118.929,112.901,-35.567,290.195,1228.86
199,0,2.33233,-10.1231,0.596606,34.2985,1059.9,284.323,18.7249,119.739,113.682,-32.5237,291.054,1232.95
200,0,2.32735,-9.0115,0.930035,32.127,1062.92,285.395,17.3242,120.587,114.539,-29.351,291.987,1235.96
201,0,2.3224,-7.91036,1.27719,29.9697,1064.9,286.484,15.8536,121.442,115.427,-26.1467,292.97,1237.92
202,0,2.33265,-6.68163,1.65159,27.9356,1065.7,287.67,14.2175,122.33,116.413,-22.9784,294.135,1238.69
203,0,2.3535,-5.4393,2.04945,25.9652,1065.34,288.784,12.5222,123.2,117.44,-19.8001,295.304,1238.3
204,0,2.38949,-4.15615,2.45061,23.9818,1063.95,289.82,10.7308,124.055,118.5,-16.5967,296.498,1236.85
205,0,2.43879,-2.86947,2.84426,21.9734,1061.77,290.896,8.88325,124.87,119.573,-13.391,297.827,1234.6
206,0,2.45994,-1.6414,3.21995,20.0469,1058.14,292.089,7.03275,125.607,120.648,-10.3237,299.232,1230.9
207,0,2.44096,-0.235688,3.6095,18.2771,1053.1,293.363,5.0388,126.374,121.824,-7.37461,300.68,1225.79
208,0,2.36961,1.12516,3.98054,16.6298,1046.62,294.596,3.0686,127.117,122.953,-4.61046,301.975,1219.23
209,0,2.24694,2.36551,4.35332,15.0932,1039.13,295.689,1.19838,127.847,123.986,-1.95893,303.002,1211.66
210,0,2.06796,3.40958,4.71288,13.7138,1030.92,296.915,-0.508757,128.521,124.912,0.489919,303.989,1203.38
